image_id,category,filename,image_path,ai_prompt,instance_id,box_score,mask_score,area_px,centroid_x,centroid_y,mask_json_path,individual_mask_overlay_path,combined_overlay_path,passed_qc,holes_filled,holes_area_px
Action_001,Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg,face,face_0,0.7786493301391602,0.91015625,56190,835.9076348104645,423.1374087915999,results/notebook04/section02/masks/Action/001/face_0_mask.json,results/notebook04/section02/overlays/individual/Action/001/face_0_overlay.png,results/notebook04/section02/overlays/combined/Action/001_combined.png,1,0,0
Action_001,Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg,face,face_1,0.6206215620040894,0.875,17637,1462.9070136644555,604.2497590293134,results/notebook04/section02/masks/Action/001/face_1_mask.json,results/notebook04/section02/overlays/individual/Action/001/face_1_overlay.png,results/notebook04/section02/overlays/combined/Action/001_combined.png,1,0,0
Action_001,Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg,person,person_0,0.8031737804412842,0.96875,471429,833.013145139565,705.1586707648447,results/notebook04/section02/masks/Action/001/person_0_mask.json,results/notebook04/section02/overlays/individual/Action/001/person_0_overlay.png,results/notebook04/section02/overlays/combined/Action/001_combined.png,1,0,0
Action_001,Action,001.jpg,data/CAT2000/trainSet/Stimuli/Action/001.jpg,person,person_1,0.7341195344924927,0.953125,135515,1528.0686566062798,710.950868907501,results/notebook04/section02/masks/Action/001/person_1_mask.json,results/notebook04/section02/overlays/individual/Action/001/person_1_overlay.png,results/notebook04/section02/overlays/combined/Action/001_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,face,face_0,0.45859116315841675,0.94140625,19944,1341.1278078620137,424.8873345367028,results/notebook04/section02/masks/Action/003/face_0_mask.json,results/notebook04/section02/overlays/individual/Action/003/face_0_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,face,face_1,0.5140343904495239,0.8359375,24051,652.5934888362231,287.04062201155875,results/notebook04/section02/masks/Action/003/face_1_mask.json,results/notebook04/section02/overlays/individual/Action/003/face_1_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,hand,hand_0,0.815232515335083,0.90234375,9854,1086.6449157702457,705.5777349299776,results/notebook04/section02/masks/Action/003/hand_0_mask.json,results/notebook04/section02/overlays/individual/Action/003/hand_0_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,hand,hand_1,0.7853085398674011,0.88671875,14017,699.4010130555754,415.963472925733,results/notebook04/section02/masks/Action/003/hand_1_mask.json,results/notebook04/section02/overlays/individual/Action/003/hand_1_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,hand,hand_2,0.7065955400466919,0.859375,6972,1263.2525817555938,747.3065117613311,results/notebook04/section02/masks/Action/003/hand_2_mask.json,results/notebook04/section02/overlays/individual/Action/003/hand_2_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
Action_003,Action,003.jpg,data/CAT2000/trainSet/Stimuli/Action/003.jpg,hand,hand_3,0.4857826232910156,0.875,2534,960.2912391475927,897.2336227308602,results/notebook04/section02/masks/Action/003/hand_3_mask.json,results/notebook04/section02/overlays/individual/Action/003/hand_3_overlay.png,results/notebook04/section02/overlays/combined/Action/003_combined.png,1,0,0
